rec.hdr.run,rec.hdr.subrun,rec.hdr.evt,rec.mc.nu.prim.G4ID,rec.mc.nu.prim.cont_tpc,rec.mc.nu.prim.contained,rec.mc.nu.prim.crosses_tpc,rec.mc.nu.prim.cryostat,rec.mc.nu.prim.end.x,rec.mc.nu.prim.end.y,rec.mc.nu.prim.end.z,rec.mc.nu.prim.endE,rec.mc.nu.prim.endT,rec.mc.nu.prim.end_process,rec.mc.nu.prim.endp.x,rec.mc.nu.prim.endp.y,rec.mc.nu.prim.endp.z,rec.mc.nu.prim.gen.x,rec.mc.nu.prim.gen.y,rec.mc.nu.prim.gen.z,rec.mc.nu.prim.genE,rec.mc.nu.prim.genT,rec.mc.nu.prim.generator,rec.mc.nu.prim.genp.x,rec.mc.nu.prim.genp.y,rec.mc.nu.prim.genp.z,rec.mc.nu.prim.gstatus,rec.mc.nu.prim.interaction_id,rec.mc.nu.prim.length,rec.mc.nu.prim.parent,rec.mc.nu.prim.pdg,rec.mc.nu.prim.plane.0.0.nhit,rec.mc.nu.prim.plane.0.0.visE,rec.mc.nu.prim.plane.0.1.nhit,rec.mc.nu.prim.plane.0.1.visE,rec.mc.nu.prim.plane.0.2.nhit,rec.mc.nu.prim.plane.0.2.visE,rec.mc.nu.prim.plane.1.0.nhit,rec.mc.nu.prim.plane.1.0.visE,rec.mc.nu.prim.plane.1.1.nhit,rec.mc.nu.prim.plane.1.1.visE,rec.mc.nu.prim.plane.1.2.nhit,rec.mc.nu.prim.plane.1.2.visE,rec.mc.nu.prim.start.x,rec.mc.nu.prim.start.y,rec.mc.nu.prim.start.z,rec.mc.nu.prim.startE,rec.mc.nu.prim.startT,rec.mc.nu.prim.start_process,rec.mc.nu.prim.startp.x,rec.mc.nu.prim.startp.y,rec.mc.nu.prim.startp.z,rec.mc.nu.prim.wallin,rec.mc.nu.prim.wallout
1,34,5,3,0,0,0,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,60,-9999.0,-9999.0,-9999.0,194.20912,206.09097,501.58337,0.02545907,0.38483447,0,0.0041785794,-0.0028565673,0.024950827,-1,0,0.0,0,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,0,0
1,34,5,2,0,0,0,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,52,-9999.0,-9999.0,-9999.0,194.20912,206.09097,501.58337,0.3501876,0.38483447,0,0.0069497977,0.012432473,0.34989744,-1,0,0.0,0,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,0,0
