,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,ntrk,nshw,true_ntrk,true_nshw,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
1,7,2,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,2,1,1,,1,0,,0,-157.68263,-105.28496,188.89542,-185.65723,-114.99642,355.58566,-0.0026092618,-0.041534565,0.99913365,208.14429,0.57598805,0.44,0.61511195,0.85,2,,,,29.589266,192.01732,113.48624,35.63126,,,0.95011973,0.016967712,0.95011973,0.0,0.028281124,0.004631454,0,52,11,0.38378683,-157.68399,-105.42729,188.871,-160.18423,-103.81705,219.04364,-0.005974551,0.010151724,0.3836057,32.77673,2,1,0.38378683,0,2.0,2.3625896,0.37123132,0.0,4.9556518,-0.103194736,-0.09677478,0.9899421,-165.41438,-112.67676,263.02826,74.9107,0.13578127,2.080788,0.37276566,258.0,0.72964007,1.9506022,0.37081665,250,0.5183312,2.3625896,0.37123132,377,0.30304804,0.7650939,0.7650939,0.11396059,11.0,0.12094551,-157.68399,-105.42729,188.871,0,52,11,0.38378683,-157.68399,-105.42729,188.871,-160.18423,-103.81705,219.04364,-0.005974551,0.010151724,0.3836057,32.77673,2,1,0.38378683,0,0,1,0,1,True,True,0.5855987668037415,-0.007478675339370966,-0.00942183192819357,0.9999276399612427,-0.007478675339370966,-0.00942183192819357,0.9999276399612427,-0.0074785384349524975,-0.009409092366695404,0.9999277591705322,-0.007478675339370966,-0.00942183192819357,0.9999276399612427,0.13005992758482726,0.03677794735800682,0.03250396277631314,0.03677794735800682,0.006279594818329667,0.0005191167450866059,0.0006186895454323946,0.0005191167450866059,11.096690923121777,-0.032714803,-0.0,-0.0,0.0,2.5363563474271027,0.0,0.19181196000367248,0.5258438411868409,-8.6123655e-06,-0.0013500677,0.00012926316,-0.11621052529358188,0.0005395256,0.005760478073243061,-0.01255551,0.0,0.0,0.0,0.09328198022682044,0.0,9.95728003457887e-05,0.20181193947792053,0.0013580322,0.14233398,0.024414062,-0.004273984581693674,0.14441901
1,7,3,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,3,1,1,,1,0,,0,-50.8217,48.771523,88.94642,-54.362297,89.324646,133.70593,0.013477347,0.34681377,0.9378372,95.566765,0.33025923,0.25,0.3675261,0.59,2,,,,36.48234,368.14743,161.00435,44.12351,,,0.43155003,0.28677604,0.18678367,211.0,0.43155003,0.09489028,0,52,11,0.0571447,-50.910397,49.21165,88.68204,-51.812622,51.90291,97.904144,0.001648979,0.006086858,0.05679337,10.414206,2,1,0.0571447,0,2.0,3.3573353,0.052656803,0.0,0.97542214,-0.061221525,0.5057733,0.8604914,-54.215355,76.515114,135.13446,53.983604,0.2546176,,0.052964773,32.0,0.34551933,4.8199134,0.052919365,50,38.62578,3.3573353,0.052656803,60,0.348638,0.460616,0.16495435,0.460616,0.0,0.37442964,-50.910397,49.21165,88.68204,0,52,11,0.0571447,-50.910397,49.21165,88.68204,-51.812622,51.90291,97.904144,0.001648979,0.006086858,0.05679337,10.414206,2,1,0.0571447,0,0,1,0,1,True,True,0.3467489778995514,0.0020822426304221153,0.004437954165041447,0.9999880194664001,0.0020822426304221153,0.004437954165041447,0.9999880194664001,0.0020901919342577457,0.004398158751428127,0.9999881982803345,0.0020822426304221153,0.004437954165041447,0.9999880194664001,0.5304130700428102,0.10576080863019796,0.34997998356798815,0.10576080863019796,0.014814361030913633,0.0006391834091129717,0.04247189145748373,0.0006391834091129717,22.177011198510765,-0.07853568,-0.0,0.0,0.0,4.0152138293254405,0.0,65.44711181791185,5.06791126585302,-0.0017421888,-0.00894358,0.0029812283,2.3091651633614507,0.004591345,0.01417517762180066,-0.004487898,0.0,0.0,0.0,0.42465226141261225,0.0,0.041832708048370755,0.2896042764186859,0.088695526,-0.44012833,0.2643814,0.2442191749377902,0.5210349
1,7,4,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,4,1,1,,1,0,,0,-37.505653,18.48038,376.69812,-53.49414,14.738052,509.08725,-0.013976918,0.057971403,0.99822044,183.64359,0.5224195,0.46,0.56185365,0.88,2,,,,24.460367,221.6136,76.34013,30.286789,,,0.9148883,0.020719253,0.9148883,0.0,0.057638865,0.0067535704,0,52,11,0.54463685,-37.570023,18.715685,376.65955,-45.00147,21.339254,415.4525,-0.0027560615,-0.011237776,0.54451364,41.483532,2,1,0.54463685,0,2.0,1.8745071,0.5085708,0.0,4.632704,-0.13290884,-0.020908624,0.9909078,-52.16054,16.42037,485.43982,109.7784,0.07700768,1.6262707,0.5146351,391.0,0.6284743,2.1589553,0.5113602,365,0.58415616,1.8745071,0.5085708,561,0.3027527,0.9385083,0.9385083,0.023705782,11.0,0.037785966,-37.570023,18.715685,376.65955,0,52,11,0.54463685,-37.570023,18.715685,376.65955,-45.00147,21.339254,415.4525,-0.0027560615,-0.011237776,0.54451364,41.483532,2,1,0.54463685,0,0,1,0,1,True,False,0.47197848558425903,0.00320214731618762,0.0016450842376798391,0.9999935030937195,0.00320214731618762,0.0016450842376798391,0.9999935030937195,0.0032077946234494448,0.001624395721592009,0.9999935626983643,0.00320214731618762,0.0016450842376798391,0.9999935030937195,0.13837550211803762,0.023761439107949867,0.0589436779536257,0.023761439107949867,0.009738001396579798,0.00030750522456666894,0.0016398218358061464,0.00030750522456666894,30.667759174831655,-0.06622037,-0.0,0.0,0.0,4.8235320465813585,0.0,4.332663333174112,-0.13340698594471787,-0.0017133128,-0.012572652,0.000102411366,1.4806442777241093,0.0006516834,0.00943049617201313,-0.036066055,0.0,0.0,0.0,0.11461406301008775,0.0,0.0013323166112394775,-0.07265836000442505,0.0643692,-0.23530579,0.03857422,0.03518223884567583,0.24698214
1,7,5,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,5,1,1,,1,0,,0,114.08552,88.77156,393.11914,144.02133,97.645355,501.99786,0.84818983,-0.5104062,0.14163199,187.56154,0.5309694,0.47,0.5703727,0.89,2,,,,22.670315,310.22827,158.95584,27.282137,,,0.86499333,0.05981247,0.86499333,0.0,0.06960008,0.005594104,0,52,11,0.5700558,137.50232,88.49291,398.70615,131.1817,89.35823,424.26416,0.02803761,0.004299136,0.56934935,29.129852,2,1,0.5700558,0,2.0,1.8451917,0.54401165,0.0,6.5804687,0.03324097,0.086831085,0.9956683,140.25037,95.671295,481.0187,82.670654,0.17354758,1.8475052,0.5421453,410.0,0.5235309,2.0000339,0.54288155,347,0.7098303,1.8451917,0.54401165,596,0.30130517,0.9301811,0.9301811,0.021531906,11.0,0.048286986,137.50232,88.49291,398.70615,0,52,11,0.5700558,137.50232,88.49291,398.70615,131.1817,89.35823,424.26416,0.02803761,0.004299136,0.56934935,29.129852,2,1,0.5700558,0,0,1,0,1,True,False,0.4817298948764801,0.018551189452409744,0.007761847227811813,0.9997977614402771,0.018551189452409744,0.007761847227811813,0.9997977614402771,0.01650594361126423,0.007790383882820606,0.9998334050178528,0.018551189452409744,0.007761847227811813,0.9997977614402771,0.0805495335663992,0.030651210171842806,1.4185768563620331,0.030651210171842806,0.0035296712864961435,0.0005355655182000713,0.9694141145229891,0.0005355655182000713,5.590549926288502,-0.045686986,0.0,0.0,0.0,1.6279397490280698,0.0,1809.0756706312914,-0.15494253472075187,-0.17030114,0.0031488214,-0.014012841,45.281267473908215,0.055868573,0.002994105768296072,-0.02604413,0.0,0.0,0.0,0.049898323394556396,0.0,0.968878549004789,-0.08832588791847229,-23.416801,0.27864838,-5.5870056,1.3879256461901903,24.075691
1,7,6,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,6,1,1,,1,0,,0,-75.55707,-19.88088,416.5918,-83.03025,-10.220907,504.39893,-0.0060728937,0.05177981,0.99864006,108.88889,0.35960135,0.29,0.39761096,0.64,2,,,,36.58272,202.20723,99.4388,43.325,,,0.567115,0.032563914,0.567115,0.0,0.2799132,0.12040792,0,52,11,1.1769675,-75.60664,-20.084665,416.6269,-76.086464,-22.648026,457.9496,-0.019273993,-0.010277763,1.1767646,41.681404,2,1,1.1769675,0,2.0,1.9488263,0.92004555,0.0,12.219815,-0.018619984,0.020903956,0.999608,-77.00857,-18.51078,491.88867,75.29128,0.1456846,1.9732186,0.9254577,477.0,0.5792542,1.5656778,0.9299831,459,0.62279344,1.9488263,0.92004555,771,0.30011764,0.8972337,0.8972337,0.05483584,11.0,0.04793044,-75.60664,-20.084665,416.6269,0,52,11,1.1769675,-75.60664,-20.084665,416.6269,-76.086464,-22.648026,457.9496,-0.019273993,-0.010277763,1.1767646,41.681404,2,1,1.1769675,0,0,1,0,1,True,False,0.30864813923835754,-0.00014072818157728761,-0.001759244129061699,0.9999984502792358,-0.00014072818157728761,-0.001759244129061699,0.9999984502792358,-0.00013638619566336274,-0.0017413997557014227,0.9999984502792358,-0.00014072818157728761,-0.001759244129061699,0.9999984502792358,0.029245259088442197,0.017668728219294143,0.053873092959797496,0.017668728219294143,0.0007869013270247471,0.00036743037178981267,0.0008957926257638279,0.00036743037178981267,1.1416338643744222,-0.21829145,-0.0,-0.0,0.0,0.6551988759726664,0.0,1.4379928676017646,-0.7377598456982034,-0.00065570703,-0.010146295,-8.4236555e-05,2.0490645558161007,0.00050162955,0.00041947095523493447,-0.25692195,0.0,0.0,0.0,0.011576530869148054,0.0,0.0005283622539740152,-0.8683193624019623,0.049575806,0.20378494,-0.035095215,0.036204364740503356,0.21264462
1,7,7,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,1,,1,0,,0,-195.27563,17.649069,206.6024,-192.99788,13.5966,372.74997,-0.0017394866,-0.03885235,0.9992435,254.26741,0.6775621,0.57,0.71559846,1.01,2,,,,2.659709,163.32866,66.28965,6.5408773,,,0.903851,0.032000687,0.903851,0.0,0.05652599,0.007622363,0,52,11,0.3258779,-195.3686,17.457664,206.5306,-191.97293,25.18318,252.03549,0.010014302,0.0101425825,0.32556564,48.588924,2,1,0.3258779,0,2.0,1.9759439,0.30319878,0.0,3.063539,-0.006812524,-0.014916347,0.99986535,-196.04285,15.981392,305.48737,98.97011,0.09382774,2.411521,0.30327636,219.0,0.6159978,1.8655425,0.30024168,240,0.58496565,1.9759439,0.30319878,372,0.3000404,0.7961441,0.7961441,0.086750746,11.0,0.11710512,-195.3686,17.457664,206.5306,0,52,11,0.3258779,-195.3686,17.457664,206.5306,-191.97293,25.18318,252.03549,0.010014302,0.0101425825,0.32556564,48.588924,2,1,0.3258779,0,0,1,0,1,True,True,0.6857507228851318,-0.010829519480466843,0.0015577184967696667,0.9999401569366455,-0.010829519480466843,0.0015577184967696667,0.9999401569366455,-0.010821155272424221,0.00157478719484061,0.9999402165412903,-0.010829519480466843,0.0015577184967696667,0.9999401569366455,0.016957408580843287,0.051016536875646355,0.041442278112267326,0.051016536875646355,8.718593409606936e-05,0.0008481581979849581,0.0011777510927065357,0.0008481581979849581,-0.8972055752061298,-0.06959392,-0.0,0.0,0.0,-0.6676095709479997,0.0,0.3885983717478881,1.104317944208172,-0.00047587891,0.010963915,0.00034768632,-0.18766971162147758,0.00078846497,-0.0007609722638888888,-0.02267912,0.0,0.0,0.0,-0.034059128294803065,0.0,0.0003295928947215776,0.35987281799316406,0.0929718,0.19140434,0.07180786,-0.009574258763379029,0.22457904
1,7,8,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,8,1,1,,1,0,,0,160.6658,-108.36073,207.76558,143.09424,-116.05687,402.89313,-0.0014495722,0.16123821,0.9869145,538.7596,1.327289,1.24,1.3518299,1.71,2,,,,28.887472,309.79303,140.78795,51.258358,,,0.77562964,0.16213833,0.77562964,0.0,0.060441233,0.0017907795,0,52,11,0.49506557,160.70087,-107.90933,207.77547,159.30948,-109.14152,226.4053,0.007847526,-0.0052735168,0.494975,19.107452,2,1,0.49506557,0,2.0,2.054163,0.4796509,0.0,4.0447197,-0.06289315,-0.08236322,0.99461585,153.24255,-117.67654,325.7239,118.58693,0.13317035,2.1664827,0.47657788,315.0,0.7042596,1.9174899,0.47967112,340,0.52757776,2.054163,0.4796509,514,0.301624,0.77005213,0.77005213,0.11249514,11.0,0.11745272,160.70087,-107.90933,207.77547,0,52,11,0.49506557,160.70087,-107.90933,207.77547,159.30948,-109.14152,226.4053,0.007847526,-0.0052735168,0.494975,19.107452,2,1,0.49506557,0,0,1,0,1,True,True,1.331487774848938,0.020935336127877235,-0.00962552148848772,0.9997344613075256,0.020935336127877235,-0.00962552148848772,0.9997344613075256,0.02093222178518772,-0.009665791876614094,0.9997342228889465,0.020935336127877235,-0.00962552148848772,0.9997344613075256,0.11116134937865232,0.005187963735082655,0.17305493082853657,0.005187963735082655,0.005926972292393318,1.3324673830823162e-05,0.03987540797650358,1.3324673830823162e-05,443.81181060378464,-0.031136593,0.0,-0.0,0.0,20.426778415381754,0.0,2991.599179745939,1.6895180272343906,-0.00021819856,0.0041831485,-4.7588368e-05,32.357004725820325,0.0015947674,0.005913647618562495,-0.015414655,0.0,0.0,0.0,0.10597338564356967,0.0,0.039862083302672754,0.8364222049713135,-0.035064697,-0.45140076,-0.009887695,0.16786696709345392,0.45286858
1,7,9,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,9,1,1,,1,0,,0,-119.486534,119.18703,385.40292,-126.78011,139.52046,503.27267,-0.050368596,0.0071639065,0.998705,332.53665,0.85232407,0.7,0.8876412,1.16,2,,,,27.004337,310.69247,155.23648,40.409954,,,0.9409755,0.013628495,0.9409755,0.0,0.024988912,0.020407112,0,52,11,0.4620092,-119.58521,119.308464,385.17755,-120.463196,117.92803,401.1269,-0.014040332,-0.0047721937,0.46177086,16.106441,2,1,0.4620092,0,2.0,1.9088856,0.40614432,0.0,4.107758,-0.063786454,0.003889962,0.9979559,-125.89194,119.69308,483.84796,98.8725,0.14671552,1.9035866,0.40868944,325.0,0.59719706,2.183063,0.40600082,264,0.6053157,1.9088856,0.40614432,464,0.30061448,0.873139,0.873139,0.053856757,11.0,0.07300421,-119.58521,119.308464,385.17755,0,52,11,0.4620092,-119.58521,119.308464,385.17755,-120.463196,117.92803,401.1269,-0.014040332,-0.0047721937,0.46177086,16.106441,2,1,0.4620092,0,0,1,0,1,True,False,0.7079291343688965,-0.004003656562417746,0.010478620417416096,0.9999370574951172,-0.004003656562417746,0.010478620417416096,0.9999370574951172,-0.003994911443442106,0.01046774908900261,0.9999372363090515,-0.004003656562417746,0.010478620417416096,0.9999370574951172,0.06018665947103722,0.033609111245616094,0.04651117429012277,0.033609111245616094,0.0014712309883494513,0.0005218728122078207,0.001531455545499191,0.0005218728122078207,1.8191370654571988,-0.12091723,-0.0,0.0,0.0,0.7907840237485556,0.0,1.934537898267315,0.5322836587957418,-0.00082517386,-0.0010178413,0.0005851128,0.38388587398869684,0.00065233605,0.0009493581761416307,-0.05586487,0.0,0.0,0.0,0.026577548225421126,0.0,0.0010095827332913705,0.24591994285583496,0.09867859,-0.12143707,0.22537231,0.012902063044506674,0.27436674
1,7,10,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,10,1,1,,1,0,,0,-73.315636,-93.63889,19.688522,-76.062004,-47.99927,292.38544,-0.010848992,0.052986108,0.99853635,578.99866,1.4222287,1.25,1.4442741,1.72,2,,,,0.0,0.0,0.0,0.0,,,0.9094599,0.05404858,0.9094599,0.0,0.03259346,0.00389808,0,52,11,0.95661354,-73.379105,-93.397896,19.550686,-72.79954,-93.680244,47.35316,-0.008993484,-0.015736999,0.9564417,28.6102,2,1,0.95661354,0,2.0,1.8242178,0.91389453,0.0,5.95565,-0.0055943155,-0.025174236,0.99966747,-74.23755,-97.26088,172.94966,153.45001,0.12570482,1.8355379,0.91058266,631.0,0.6275728,1.9037327,0.9053583,495,0.5751145,1.8242178,0.91389453,893,0.3000998,0.8605432,0.8605432,0.060642026,11.0,0.07881479,-73.379105,-93.397896,19.550686,0,52,11,0.95661354,-73.379105,-93.397896,19.550686,-72.79954,-93.680244,47.35316,-0.008993484,-0.015736999,0.9564417,28.6102,2,1,0.95661354,0,0,1,0,1,True,True,1.4261480569839478,5.6342869356740266e-05,-0.0084753492847085,0.9999641180038452,5.6342869356740266e-05,-0.0084753492847085,0.9999641180038452,6.210154242580757e-05,-0.008497110567986965,0.9999639391899109,5.6342869356740266e-05,-0.0084753492847085,0.9999641180038452,0.017629473134391484,0.012373007351386254,0.062469814232643014,0.012373007351386254,0.00028403688859712783,0.00014644922097941006,0.005565510975388826,0.00014644922097941006,0.9394906077176186,-0.044656493,-0.0,-0.0,0.0,0.4248333193155586,0.0,37.003008402286454,0.4908298872873803,-0.0008649456,0.002580329,0.0070502106,4.04887877769215,0.0023658997,0.00013758766761771778,-0.042719007,0.0,0.0,0.0,0.00525646578300523,0.0,0.005419061754409416,0.4695345163345337,0.06346893,-0.24099731,0.13783646,0.05009680688125676,0.28479272
1,30,1,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,1,1,1,,1,0,,0,-159.822,109.96053,200.0107,-165.84691,120.20432,303.69995,-0.08781536,-0.066139996,0.9939386,189.94426,0.536172,0.45,0.57555264,0.86,2,,,,33.2705,200.39983,120.19054,39.48727,,,0.8596786,0.054252647,0.8596786,0.0,0.06450805,0.021560695,0,52,11,0.12001152,-160.10916,110.0363,200.02013,-160.56317,108.87884,212.28119,-0.00699818,-0.007694037,0.11955891,12.859549,2,1,0.12001152,0,2.0,2.29127,0.11845228,0.0,1.8867812,-0.05456384,-0.095143385,0.9939671,-163.53468,104.063194,262.42145,62.780083,0.08496593,4.1643047,0.11826426,102.0,0.7236118,2.622703,0.11728548,72,0.5177947,2.29127,0.11845228,137,0.30182084,0.7069844,0.7069844,0.1860314,11.0,0.106984206,-160.10916,110.0363,200.02013,0,52,11,0.12001152,-160.10916,110.0363,200.02013,-160.56317,108.87884,212.28119,-0.00699818,-0.007694037,0.11955891,12.859549,2,1,0.12001152,0,0,1,0,1,True,True,0.5464833378791809,-0.007687706034630537,0.00982388760894537,0.9999222159385681,-0.007687706034630537,0.00982388760894537,0.9999222159385681,-0.007662077900022268,0.009817134588956833,0.999922513961792,-0.007687706034630537,0.00982388760894537,0.9999222159385681,0.1151760278697669,0.08971316806333568,0.11064492047225029,0.08971316806333568,0.0015713307909982538,0.000965907048139199,0.006690212107323255,0.000965907048139199,0.6267929652500122,-0.012992441,-0.0,0.0,0.0,0.2838252216046473,0.0,5.926351888840461,3.5535905432404453,-0.0017934961,-0.0006885684,-4.7144913e-05,0.2333186182226584,0.0010656074,0.0006054237428590548,-0.0015592426,0.0,0.0,0.0,0.025462859806431218,0.0,0.005724305059184056,0.4264718145132065,0.28715515,-0.07576752,-0.009429932,0.02093175240891461,0.2971325
1,30,2,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,2,1,1,,1,0,,0,-27.358744,165.75575,262.00443,-3.2555313,193.95142,331.7196,0.15199801,0.1812738,0.97161543,99.87543,0.3397794,0.29,0.3773029,0.65,2,,,,33.48916,204.83517,96.53976,30.522354,,,0.78474325,0.0320872,0.78474325,0.0,0.14850384,0.034665722,0,52,11,0.059237905,-27.392624,165.78456,261.95352,-26.278166,166.5879,269.8892,0.0060625235,0.0056357575,0.058654517,8.581335,2,1,0.059237905,0,2.0,2.156913,0.05625117,0.0,1.4000139,0.19175333,0.24474587,0.95043683,-19.688166,175.61821,300.1411,40.179005,0.09494753,2.2003696,0.05603949,37.0,0.4365703,2.3512635,0.055559617,53,1.139548,2.156913,0.05625117,73,0.31564432,0.71772766,0.71772766,0.1385407,11.0,0.14373162,-27.392624,165.78456,261.95352,0,52,11,0.059237905,-27.392624,165.78456,261.95352,-26.278166,166.5879,269.8892,0.0060625235,0.0056357575,0.058654517,8.581335,2,1,0.059237905,0,0,1,0,1,True,True,0.3558282256126404,0.0041379970498383045,0.014719043858349323,0.9998831152915955,0.0041379970498383045,0.014719043858349323,0.9998831152915955,0.004140986129641533,0.014716418460011482,0.9998831152915955,0.0041379970498383045,0.014719043858349323,0.9998831152915955,0.30207364880375576,0.12739090334471195,0.22497803851743545,0.12739090334471195,0.005132834124358137,0.0009613389181102588,0.018010287561340516,0.0009613389181102588,4.339255519216832,-0.05041935,-0.0,0.0,0.0,1.3712340588900844,0.0,17.73458696205084,5.006765879611515,-0.0012368378,-0.00017377127,0.00019432195,0.7660447693714731,0.00021719428,0.004171495206247878,-0.0029867366,0.0,0.0,0.0,0.1746827454590438,0.0,0.017048948643230255,0.29659032076597214,0.033880234,-0.028808594,0.05090332,0.0975871351727235,0.06759403
1,30,3,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,3,1,1,,1,0,,0,45.077938,-105.86446,361.74457,43.32013,-66.48733,468.1911,0.081093036,7.6294134e-05,0.99670655,163.97852,0.47958878,0.39,0.5190425,0.79,2,,,,38.24125,301.79526,225.80443,62.522392,,,0.9323165,0.022826321,0.9323165,0.0,0.043173745,0.0016834466,0,52,11,0.08587982,45.138542,-105.95042,361.60312,43.447502,-103.26233,378.238,0.005148901,0.0034837704,0.085652985,17.731735,2,1,0.08587982,0,2.0,1.7583979,0.08293684,0.0,0.82181484,-0.12416822,0.22145545,0.9672332,32.607594,-83.601326,459.21545,100.91913,0.12851939,1.7875011,0.0823562,86.0,0.44417948,2.0224087,0.081392,60,1.0279938,1.7583979,0.08293684,115,0.31016305,0.59560823,0.59560823,0.220635,11.0,0.18375674,45.138542,-105.95042,361.60312,0,52,11,0.08587982,45.138542,-105.95042,361.60312,43.447502,-103.26233,378.238,0.005148901,0.0034837704,0.085652985,17.731735,2,1,0.08587982,0,0,1,0,1,True,True,0.49108970165252686,0.010485035367310047,-0.009324387647211552,0.9999015927314758,0.010485035367310047,-0.009324387647211552,0.9999015927314758,0.010479574091732502,-0.009316707961261272,0.9999016523361206,0.010485035367310047,-0.009324387647211552,0.9999015927314758,0.2699996170524154,0.07031985350438595,0.07132201949357916,0.07031985350438595,0.006046078359189878,0.0004246655467942852,0.0024980900552382633,0.0004246655467942852,13.237270729472893,-0.03426858,0.0,-0.0,0.0,2.8395929968138387,0.0,4.882488170033672,4.718336570195844,-0.0013426241,-0.00081125455,0.0003911719,0.014251536930899696,0.00046446113,0.005621412812395593,-0.0029429793,0.0,0.0,0.0,0.1996797635480294,0.0,0.0020734245084439783,0.40520988404750824,-0.060604095,0.08595276,0.14144897,0.0010021659891932128,0.17626272
