,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,ntrk,nshw,true_ntrk,true_nshw,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
1,49,4,1,1,,1,0,,0,34.16388,134.60605,4.881875,18.818806,129.8538,62.48645,-0.20005795,0.16250609,0.9662136,60.11754,0.25006774,0.11,0.28425714,0.17,2,,,,30.52972,194.19247,115.22017,36.619137,,,0.6714436,0.014882069,0.6714436,0.0,0.259039,0.054635372,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,2.0,2.1464257,0.016846592,0.0,2.132824,-0.26051524,-0.08731147,0.9615138,32.597816,133.83481,11.180692,7.898726,0.21754663,2.1457553,0.021681849,18.0,0.74047935,3.163729,0.021787124,13,0.5392087,2.1464257,0.016846592,21,0.312008,,,,,,34.655556,134.52446,3.5859573,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,0,1,0,1,True,True,0.2714729607105255,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.009827508591115475,0.0122299799695611,0.9998769164085388,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.29170290485057077,0.18201853890533634,0.2610634720917212,0.18201853890533634,0.0014334863299900005,0.0008032776292495796,0.018502005209624157,0.0008032776292495796,0.7845465599846976,-0.3051715,0.0,0.0,0.0,0.6025999692387309,0.0,22.033138899820592,10.196754471643649,-0.0141875185,0.00060649746,0.36138684,0.4342685841879783,0.009991543,0.0006302087007404209,-0.0073990915,0.0,0.0,0.0,0.10968436594523442,0.0,0.017698727580374576,0.2472272776067257,-0.49167633,0.081588745,1.2959177,0.07904493318638486,1.3884542
1,49,6,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,6,1,1,,1,0,,0,51.791607,-48.481453,396.5231,-9.361551,-94.090614,498.3357,-0.09439941,0.009079067,0.995493,162.51677,0.4764097,0.26,0.5158552,0.6,2,,,,17.258352,204.41469,114.94009,28.878775,,,0.861383,0.053683437,0.861383,0.0,0.079753704,0.005179861,0,52,11,0.14467455,51.81852,-48.47172,396.55038,49.043884,-49.409233,414.17905,-0.009695879,-0.0011937518,0.14434345,18.61847,2,1,0.14467455,0,2.0,2.0261128,0.13319474,0.0,3.5486317,-0.46249238,-0.3463504,0.81617534,34.45928,-61.471676,427.1848,37.534115,0.54688555,2.4300654,0.13193515,103.0,2.7741964,3.2656958,0.131675,89,0.4237073,2.0261128,0.13319474,162,0.36756808,0.47858182,0.47858182,0.31628484,11.0,0.20513335,51.81852,-48.47172,396.55038,0,52,11,0.14467455,51.81852,-48.47172,396.55038,49.043884,-49.409233,414.17905,-0.009695879,-0.0011937518,0.14434345,18.61847,2,1,0.14467455,0,0,1,0,1,True,True,0.4879855513572693,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.011036946438252926,-0.004253759048879147,0.9999300837516785,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.6223931284697638,0.078210592122189,0.10641888892067347,0.078210592122189,0.051596075281795745,0.0008849593077028458,0.005526426569937208,0.0008849593077028458,57.303330822891155,-0.0793492,0.0,-0.0,0.0,6.95791352017121,0.0,5.244836934121367,2.3729881052987736,-0.0005193643,0.00020076227,-6.8800124e-05,0.36067105532731975,9.8148725e-05,0.0507111159740929,-0.01147981,0.0,0.0,0.0,0.5441825363475747,0.0,0.004641467262234362,0.34331099689006805,-0.02691269,-0.009731293,-0.027282715,0.028208296798484467,0.03953906
1,49,8,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,8,1,1,,1,0,,0,183.16302,-99.80311,152.04572,183.88104,-149.1296,232.6001,-0.016601583,-0.092315786,0.9955914,124.11944,0.39289242,0.33,0.4315626,0.71,2,,,,59.781944,382.7266,140.98198,72.28938,,,0.8067507,0.025129471,0.8067507,0.0,0.13098654,0.03713327,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2.0,1.9669448,0.1318514,0.0,2.4670243,0.14060114,-0.33427244,0.9319299,190.70319,-117.643776,201.66235,53.445526,0.117840976,1.924999,0.13092971,83.0,1.699943,2.6642585,0.1302571,128,0.39711252,1.9669448,0.1318514,167,0.32191262,0.7466793,0.7466793,0.1488394,11.0,0.104481265,183.18869,-99.77841,151.85487,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,0,1,0,1,True,True,0.40685150027275085,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.02305266633629799,-0.008946572430431843,0.9996942281723022,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.3543379833493201,0.0765457855920833,0.0924432026433211,0.0765457855920833,0.016554656733108082,0.0009290454535446658,0.00347684946507852,0.0009290454535446658,16.818995475351283,-0.16844617,0.0,-0.0,0.0,3.629098527221429,0.0,2.7423889776468977,1.565910645816104,-0.00014010299,0.00024751195,0.0012567373,0.20768507277403894,0.0007524139,0.015625611279563415,-0.026708871,0.0,0.0,0.0,0.2777921977572368,0.0,0.0025478040115338545,0.2482912242412567,-0.025665283,-0.02469635,0.19084167,0.015897417051237803,0.19413698
1,49,9,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,9,1,1,,1,0,,0,-71.170166,33.553432,169.68747,-54.502983,-4.005003,270.19073,0.005500773,0.041423645,0.99912655,124.59623,0.39393184,0.34,0.43261924,0.72,2,,,,26.045366,291.1977,150.82835,32.834095,,,0.8984229,0.010658406,0.8984229,0.0,0.07531266,0.015606048,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,2.0,3.0583823,0.08116344,0.0,2.539486,0.13449383,-0.3474729,0.9279947,-67.312065,22.704782,199.54797,31.96058,0.2872002,5.179328,0.08124324,69.0,1.8396218,1.9204123,0.08149549,65,0.39219904,3.0583823,0.08116344,99,0.3232777,0.82080305,0.048207674,0.82080305,0.0,0.13098928,-71.610565,33.81022,169.88872,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,0,1,0,1,True,True,0.4078553318977356,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.0002533482911530882,0.003003958612680435,0.9999954700469971,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.38454999181072946,0.104671222300201,0.03878794314982988,0.104671222300201,0.01200234422249572,0.0009043000960008947,0.0006136201959723772,0.0009043000960008947,12.272523441691469,-0.016662776,-0.0,0.0,0.0,2.6738846013264816,0.0,-0.3214418546608558,3.941378924995347,-0.006149919,-0.007594933,-0.0011845882,-0.6294306849825008,0.0029240435,0.011098044126494825,-0.001375325,0.0,0.0,0.0,0.2798787695105285,0.0,-0.0002906799000285175,0.32531656324863434,0.44039917,-0.25678635,-0.20124817,-0.06588327915037112,0.5480798
1,49,10,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,10,1,1,,1,0,,0,-200.94762,187.48248,108.910706,-191.11276,168.44196,137.55,-0.015472414,-0.13507082,0.99071515,63.917686,0.25889874,0.16,0.2935155,0.42,2,,,,55.344135,435.13562,173.1952,46.11086,,,0.7216998,0.01618983,0.7216998,0.0,0.19763784,0.06447254,0,52,11,0.06013816,-200.92456,187.2553,108.63993,-201.3,185.9329,117.46869,-0.008171252,0.002386186,0.059530444,8.987267,2,0,0.06013816,0,2.0,1.9693516,0.021073703,0.0,1.2512007,0.26971635,-0.34465703,0.89914656,-196.38179,181.45032,123.78406,16.842783,0.5071773,2.0325632,0.020568855,23.0,1.9855514,1.7539167,0.02002402,13,0.40104002,1.9693516,0.021073703,35,0.33364972,,,,,,-200.92456,187.2553,108.63993,0,52,11,0.06013816,-200.92456,187.2553,108.63993,-201.3,185.9329,117.46869,-0.008171252,0.002386186,0.059530444,8.987267,2,0,0.06013816,0,0,1,0,1,False,False,0.19173860549926758,-0.011423383839428425,0.01685323193669319,0.999792754650116,-0.011423383839428425,0.01685323193669319,0.999792754650116,-0.011425175704061985,0.016873260959982872,0.9997923970222473,-0.011423383839428425,0.01685323193669319,0.999792754650116,0.4732963422351095,0.12700111665180866,0.15241618659577766,0.12700111665180866,0.004720708083778101,0.0009699854154840234,0.0044542208601454185,0.0009699854154840234,3.8667825396348507,-0.6495785,-0.0,0.0,0.0,2.7267100850201,0.0,3.5920493123319375,2.188301908157818,0.00011474969,0.0012132534,0.0024924062,0.20011690144148866,0.0011992475,0.003750722668294078,-0.039064456,0.0,0.0,0.0,0.34629522558330084,0.0,0.003484235444661395,0.13160044699907303,-0.02305603,0.22718811,0.27077484,0.025415069943969,0.35421044
1,55,1,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0.0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
