,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,nshw,ntrk,true_nshw,true_ntrk,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
1,49,4,1,1,0.4566256,1,0,,0,34.4769,134.43344,3.918821,33.060154,135.64897,11.437768,-0.23120505,0.1273041,0.96454024,7.7800407,0.101234,,0.12119282,,0,,,,13.9431715,215.71086,109.00551,22.46577,,,,,,,,,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,0.0,1.9565138,0.016304795,0.53870875,2.8581545,-0.17941119,0.14304313,0.9733193,33.05162,135.27823,11.175084,7.4392104,0.10535448,1.9565138,0.021262413,17,0.4913694,2.4012663,0.020951908,11,0.82694596,,0.016304795,19,0.30822363,,,,,,34.3863,134.2141,3.934357,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,1,0,1,0,True,True,0.14632844924926758,0.00984856579452753,0.012195419520139694,0.9998770952224731,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.009856809861958027,0.01221536472439766,0.999876856803894,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.23213593317558945,0.18201853890533634,0.27027488298899455,0.18201853890533634,0.0008786179633633097,0.0008032776292495796,0.010689075535757934,0.0008032776292495796,0.09379115186378711,-0.32751763,-0.0077695074,-0.0023071177,0.09715666,0.2753422512435286,0.0038766363,12.306825867594057,5.035237226470834,-0.005155235,-0.0006765957,0.09282425,0.4848755770397558,0.0027963482,7.534033411373019e-05,-0.007940888,-0.2692566,-0.31036377,0.34839964,0.05011739427025311,0.53870875,0.009885797906508354,0.12208276614546776,-0.17865753,-0.09101868,0.3328638,0.0882563440836582,0.38858876
1,49,6,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,6,1,1,0.38124335,1,0,,0,51.773678,-48.442078,396.49982,43.439587,-43.963577,440.16092,-0.08555521,-0.008418957,0.9962979,52.985836,0.23324768,0.17,0.26652944,0.38,2,,,,27.130888,257.72482,92.65521,36.63151,,,0.72689784,0.01488008,0.72689784,0.0,0.14297883,0.11524326,0,52,11,0.14467455,51.81852,-48.47172,396.55038,49.043884,-49.409233,414.17905,-0.009695879,-0.0011937518,0.14434345,18.61847,2,1,0.14467455,0,2.0,1.8194357,0.12471692,0.07936786,3.7252257,-0.17063104,0.036831427,0.98464656,46.050278,-47.26434,429.465,33.479023,0.12226342,2.4504504,0.124600396,93,0.57227856,2.6240175,0.12422608,83,0.65157,1.8194357,0.12471692,146,0.30467784,0.59901386,0.59901386,0.31440613,11.0,0.08657999,51.76284,-48.49742,396.5,0,52,11,0.14467455,51.81852,-48.47172,396.55038,49.043884,-49.409233,414.17905,-0.009695879,-0.0011937518,0.14434345,18.61847,2,1,0.14467455,0,1,0,1,0,True,True,0.2560628354549408,0.011034444905817509,-0.004255168605595827,0.9999300837516785,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.011035395786166191,-0.004250312689691782,0.9999300837516785,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.1871524637858964,0.078210592122189,0.09678613313711307,0.078210592122189,0.004368340507404207,0.0008849593077028458,0.00239868283993033,0.0008849593077028458,3.9362049411553524,-0.13794845,-0.0010745062,0.0005301981,-0.00012705705,1.3929298923284799,0.00019701668,1.7105007191311068,0.7699230966907321,-0.00086536177,-0.00061157334,-0.0001275188,0.23750671757993283,0.00018319875,0.0034833811997013616,-0.019957632,-0.05567932,-0.025699615,-0.05038452,0.10894187166370739,0.07936786,0.0015137235322274841,0.11138828098773956,-0.044841766,0.029644012,-0.050567627,0.018575541014924063,0.07380133
1,49,8,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,8,1,1,0.41953298,1,0,,0,183.14903,-99.8697,152.01724,190.80923,-112.48655,214.62129,0.0096740825,-0.009346019,0.9999095,81.01964,0.2978313,0.23,0.33407533,0.54,2,,,,38.65524,767.6713,130.71216,39.259235,,,0.71037346,0.053364873,0.71037346,0.0,0.22506127,0.011200372,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2.0,1.9582891,0.13017192,0.21986227,2.4604378,0.19600438,-0.25403014,0.9471278,193.52132,-113.37905,202.10873,52.906,0.07993619,1.7696769,0.13045166,81,1.1831176,2.8123295,0.12922737,126,0.4325506,1.9582891,0.13017192,165,0.3167471,0.7360837,0.7360837,0.18227217,11.0,0.081644155,183.1515,-99.93933,152.0,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,1,0,1,0,True,True,0.31601768732070923,0.023051723837852478,-0.008958820253610611,0.9996941089630127,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.023051472380757332,-0.008952564559876919,0.9996942281723022,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.3057144250084232,0.0765457855920833,0.013385587973822945,0.0765457855920833,0.012166038575296259,0.0009290454535446658,5.662214217535415e-05,0.0009290454535446658,12.095202746946494,-0.17903823,-0.00020299107,0.0016127656,0.00095569104,2.993876640545466,0.00085211697,-0.9390534209501603,0.9930445079317345,-0.00021648494,0.0009148843,0.0010692365,-0.8251296544899875,0.00073810626,0.011236993121751594,-0.028388351,-0.03718567,-0.16091919,0.14512634,0.22916863941633991,0.21986225,-0.0008724233113693116,0.1574574112892151,-0.039657593,-0.091285706,0.16236877,-0.06316019761826036,0.19044533
1,49,9,1,2,,-1,2,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,9,1,2,0.53221446,2,1,,0,-70.58365,33.366043,171.60095,-70.27122,33.57884,172.44566,0.33759147,0.2299374,0.9127764,0.9254363,0.05093372,,0.06206074,,1,,,,0.0,0.0,0.0,0.0,,,,,,,,,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,1.0,1.9110345,0.009828291,2.0453842,7.054297,0.33759066,0.22993915,0.9127762,-70.27123,33.57884,172.44566,0.92543435,0.08967066,,0.00573234,5,0.45765108,1.9110345,0.006528289,4,1.1661583,,0.009828291,10,0.32866764,,,,,,-70.58365,33.366043,171.60095,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,1,1,1,0,True,True,0.11729422956705093,0.000305805413518101,0.0029866707045584917,0.9999954700469971,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.000305805413518101,0.0029866707045584917,0.9999954700469971,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.4188379363496628,0.104671222300201,0.4188376556761548,0.104671222300201,0.001724130063505395,0.0009043000960008947,0.02057633808848732,0.0009043000960008947,0.9065906009852833,-0.8809251,-0.014340294,-0.013137322,0.010078565,3.001462170265098,0.010912266,21.753882455041744,0.42108043876576684,-0.014340294,-0.013137322,0.010078565,3.001459488787784,0.010912266,0.0008198299675045005,-0.07271048,1.0269165,-0.44417572,1.7122345,0.31416671404946184,2.0453842,0.019672037992486426,0.034755460917949677,1.0269165,-0.44417572,1.7122345,0.3141664333759538,2.0453842
1,49,9,1,2,0.48324978,2,0,,0,-71.52523,33.68144,171.00688,-69.705635,26.204313,201.73135,0.059608076,0.034854665,0.9976132,35.60743,0.1902221,0.13,0.22031403,0.33,2,,,,25.474266,211.85484,92.52179,28.925821,,,0.91264737,0.0076406337,0.91264737,0.0,0.06422275,0.015489218,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,2.0,2.1419952,0.06910472,1.3079927,2.3102276,0.079875425,-0.1508781,0.98532015,-69.126274,29.781466,200.5734,29.912516,0.118799545,2.1465738,0.07337849,58,0.82873887,2.327519,0.07310232,57,0.48129037,2.1419952,0.06910472,81,0.30446956,0.7673826,0.14612918,0.7673826,0.0,0.08648822,-71.51555,34.29461,171.09999,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,1,1,1,0,True,True,0.21759627759456635,0.00022239884128794074,0.003069925820454955,0.9999952912330627,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.00022153405006974936,0.003015062538906932,0.9999954700469971,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.1741737300649563,0.104671222300201,0.0674378943043205,0.104671222300201,0.002096394636128375,0.0009043000960008947,0.0009895994933780063,0.0009043000960008947,1.3182510379013617,-0.16276042,-0.00132685,0.014326741,0.0071298038,0.6640077973429935,0.0069782315,0.09432642742639634,1.636291783315036,-0.0011916506,-0.0038089184,0.006581744,-0.3557169504440668,0.0060221497,0.0011920945401274804,-0.013434045,0.09501648,0.48439026,1.2112732,0.06950250776475529,1.3079927,8.529939737711163e-05,0.1350575089454651,0.08533478,-0.12878036,1.1181641,-0.0372333279958805,1.1287857
1,49,10,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,10,1,1,0.5459026,1,0,,0,-200.94473,187.05028,109.12858,-200.98236,187.80186,110.823425,-0.020294208,0.40530434,0.9139566,1.8544017,0.0629699,,0.07634816,,2,,,,1.5656728,2.3257568,1.8791429,1.7778983,,,,,,,,,0,52,11,0.06013816,-200.92456,187.2553,108.63993,-201.3,185.9329,117.46869,-0.008171252,0.002386186,0.059530444,8.987267,2,0,0.06013816,0,2.0,1.7608752,0.01939521,0.53029734,10.459008,-0.020295424,0.40530026,0.9139584,-200.98238,187.80186,110.823425,1.8544024,0.016418986,,0.02015815,21,0.37129655,6.6238523,0.018740462,11,2.830753,1.7608752,0.01939521,30,0.3282425,,,,,,-200.94473,187.05028,109.12858,0,52,11,0.06013816,-200.92456,187.2553,108.63993,-201.3,185.9329,117.46869,-0.008171252,0.002386186,0.059530444,8.987267,2,0,0.06013816,0,0,1,1,0,False,False,,-0.011424699798226357,0.016834042966365814,0.9997930526733398,-0.011423383839428425,0.01685323193669319,0.999792754650116,-0.011424699798226357,0.016834042966365814,0.9997930526733398,-0.011423383839428425,0.01685323193669319,0.999792754650116,0.4006083668955593,0.12700111665180866,0.40061281053431036,0.12700111665180866,0.0031126802770710506,0.0009699854154840234,,0.0009699854154840234,2.208996988390615,-0.6774891,0.00010039648,-0.0010948534,0.0044978624,2.1543688548336406,0.0017954237,,,0.00010039648,-0.0010948534,0.0044978624,2.1544038438075037,0.0017954237,0.002142694861587027,-0.04074295,-0.02017212,-0.20501709,0.48864746,0.27360725024375065,0.53029734,,,-0.02017212,-0.20501709,0.48864746,0.2736116938825017,0.53029734
1,55,1,1,2,,-1,2,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,2,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,1,1,2,0.447024,2,1,,0,53.889294,-71.41814,392.03973,52.8616,-70.70839,399.30103,-0.062247705,0.09913551,0.99312514,7.3879633,0.099364474,,0.11904834,,2,,,,15.379193,197.32628,94.088615,22.057045,,,,,,,,,0,52,11,0.23545718,53.82165,-71.35842,391.84244,51.129875,-70.42935,399.36072,0.005846342,0.010674288,0.23514187,9.142108,2,1,0.23545718,0,2.0,1.7304022,0.026214771,0.23614728,3.936399,-0.14354667,0.102130204,0.9843596,52.825073,-70.50713,398.55542,6.6595817,0.0927386,1.9123774,0.026221564,23,0.5166827,1.592655,0.025336793,16,0.7430663,1.7304022,0.026214771,32,0.30476665,,,,,,53.781033,-71.18728,392.0,0,52,11,0.23545718,53.82165,-71.35842,391.84244,51.129875,-70.42935,399.36072,0.005846342,0.010674288,0.23514187,9.142108,2,1,0.23545718,0,2,0,1,0,True,True,0.1450413316488266,0.011215810663998127,-0.006248368415981531,0.9999176263809204,0.011219528503715992,-0.006263475865125656,0.9999174475669861,0.011225270107388496,-0.006268608383834362,0.9999173879623413,0.011219528503715992,-0.006263475865125656,0.9999174475669861,0.18986167226757517,0.0533848510478784,0.1287523069554036,0.0533848510478784,0.0009449757663902723,0.0006710393876624113,0.002404372860431995,0.0006710393876624113,0.40822697410077197,-0.88866436,-0.00075469434,-0.0023983514,0.00040210615,2.556470956475968,0.0005875669,2.5830577230461986,-0.38400124192596236,0.0012567844,0.00083683565,0.00050350884,1.411776083067678,0.00053980056,0.00027393637872786104,-0.2092424,-0.040618896,0.17114258,0.15756226,0.13647682121969676,0.23614728,0.0017333334727695836,-0.0904158502817154,0.06764221,-0.05971527,0.19729614,0.0753674559075252,0.21694966
1,55,1,1,2,0.36175758,2,0,,0,55.45052,-69.668076,421.6969,59.775112,-64.14484,503.1866,-0.12654603,0.21740906,0.96784264,155.26422,0.460642,0.14,0.5000261,0.35,2,,,,50.041855,276.78787,188.30435,61.654217,,,0.80292463,0.029212989,0.80292463,0.0,0.10056019,0.06730221,0,52,11,0.23545718,53.82165,-71.35842,391.84244,51.129875,-70.42935,399.36072,0.005846342,0.010674288,0.23514187,9.142108,2,1,0.23545718,0,2.0,4.079826,0.18965426,29.939217,6.034444,0.01376523,0.010591291,0.9998492,55.629364,-69.29556,453.12387,31.428623,0.23056455,4.351913,0.18784066,141,0.58927876,3.615684,0.18678509,112,0.61130637,4.079826,0.18965426,203,0.30004525,0.89340156,0.025770228,0.08082818,22.0,0.89340156,55.196743,-69.62843,421.69998,0,52,11,0.23545718,53.82165,-71.35842,391.84244,51.129875,-70.42935,399.36072,0.005846342,0.010674288,0.23514187,9.142108,2,1,0.23545718,0,2,0,1,0,True,False,0.17539581656455994,0.011310582980513573,-0.006095650140196085,0.9999175071716309,0.011219528503715992,-0.006263475865125656,0.9999174475669861,0.01133279874920845,-0.006099120248109102,0.9999171495437622,0.011219528503715992,-0.006263475865125656,0.9999174475669861,0.01686447301551678,0.0533848510478784,0.2653437325498279,0.0533848510478784,5.39396536968096e-05,0.0006710393876624113,0.01234914524479043,0.0006710393876624113,-0.9196177531624332,-0.1945276,0.025549041,-0.024243644,0.07619783,-0.6840962804149848,0.07449288,17.40301101818941,-0.2550840236578542,0.030264178,-0.023688104,0.076189965,3.970393797893215,0.074511275,-0.0006170997339656017,-0.04580292,1.3750916,1.7299881,29.857544,-0.03652037803236162,29.939215,0.011678105857128019,-0.060061365365982056,1.6288681,1.6903458,29.854462,0.2119588815019495,29.94661
1,55,2,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
