,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,nshw,ntrk,true_nshw,true_ntrk,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
1,67,10,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,10,1,1,0.4270407,1,0,,0,10.802186,-182.01505,478.50696,6.4304457,-171.38748,506.18414,-0.063332334,0.070342764,0.99551034,34.16578,0.18644279,0.13,0.21621867,0.33,2,,,,36.914925,123.29056,55.289143,35.90677,,,0.8749632,0.012376203,0.8749632,0.0,0.09143195,0.02122863,0,52,11,0.09298657,10.799221,-181.97879,478.23587,9.018465,-180.67087,492.3611,0.003688883,0.006827461,0.09266078,14.51671,2,1,0.09298657,0,2.0,1.7458184,0.05722147,0.4546366,2.1176484,-0.13832372,0.27698162,0.9508669,6.975675,-174.20773,504.0936,27.021235,0.112767965,2.0494814,0.06908264,57,0.4194006,1.8102411,0.066846594,45,1.2735592,1.7458184,0.05722147,66,0.31550157,0.61674696,0.30300838,0.61674696,0.0,0.08024467,10.713353,-181.69212,478.4,0,52,11,0.09298657,10.799221,-181.97879,478.23587,9.018465,-180.67087,492.3611,0.003688883,0.006827461,0.09266078,14.51671,2,1,0.09298657,0,1,0,1,0,False,False,0.16752220690250397,0.007379115559160709,-0.0158266332000494,0.9998475909233093,0.007386696990579367,-0.01585182175040245,0.9998470544815063,0.007386780809611082,-0.01585460640490055,0.9998470544815063,0.007386696990579367,-0.01585182175040245,0.9998470544815063,0.3322296242703056,0.09502924119954048,0.11163727180961511,0.09502924119954048,0.006315906752076109,0.0008397204803796628,0.0020878092385344547,0.0008397204803796628,6.521439454734389,-0.3846265,-0.007951303,-0.0015752763,0.00034318533,2.49607783958515,0.0006668638,1.4863145383693557,0.801574238612947,0.0002745544,0.00019922588,0.00056684925,0.17476758101436818,0.00053441897,0.005476186271696447,-0.0357651,-0.08586788,0.28666687,0.16412354,0.23720038307076513,0.341303,0.001248088758154792,0.07453563809394836,0.0029649734,-0.036254883,0.27108765,0.016608030610074626,0.2735173
1,68,1,1,3,,-1,3,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,2,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,1,1,3,0.37755704,3,2,,0,-200.35397,20.825537,27.72844,-200.9559,20.721378,29.866253,-0.27073702,-0.04684645,0.9615128,2.223379,0.0666072,,0.080733165,,0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0,52,11,0.28344852,-198.24583,21.200672,12.663914,-201.3,20.7588,29.68164,-0.0047987285,0.009211208,0.2832577,17.487038,2,0,0.28344852,0,0.0,1.6173298,0.006658203,15.211857,3.4050796,-0.27073258,-0.046846583,0.961514,-200.83875,20.27801,29.598907,1.9553738,0.43592843,1.6173298,0.006658203,7,0.68152905,1.163257,0.009776712,6,0.5754542,,,0,0.31200793,,,,,,-200.30936,20.369612,27.718788,0,52,11,0.28344852,-198.24583,21.200672,12.663914,-201.3,20.7588,29.68164,-0.0047987285,0.009211208,0.2832577,17.487038,2,0,0.28344852,0,2,1,1,0,False,False,,-0.011453035287559032,0.0018470040522515774,0.9999327063560486,-0.011281347833573818,0.001924991374835372,0.9999344944953918,-0.011457068845629692,0.0018883427837863564,0.9999325275421143,-0.011281347833573818,0.001924991374835372,0.9999344944953918,0.2673909312245669,0.03109669033253933,0.2673991209622434,0.03109669033253933,0.0004760475972796668,0.00027409589245959106,,0.00027409589245959106,0.7367921606116324,-0.97651005,0.010408906,-0.03919972,1.188801,7.598694213601605,0.07617628,,,0.010633964,-0.017694507,1.1895632,7.598957577245417,0.076164246,0.00020195170482007575,-0.27679032,-2.0635223,-0.8310604,15.054874,0.23629424089202758,15.218346,,,-2.108139,-0.37513542,15.064526,0.23630243062970405,15.215942
1,68,1,0,3,0.4053025,0,1,,0,-199.63321,22.594631,35.185658,-195.956,20.846766,43.983704,0.46290728,-0.34369764,0.81706107,9.821451,0.11036297,,0.13155626,,2,,,,15.725928,159.82368,74.96758,21.142153,,,,,,,,,0,52,11,0.28344852,-198.24583,21.200672,12.663914,-201.3,20.7588,29.68164,-0.0047987285,0.009211208,0.2832577,17.487038,2,0,0.28344852,0,0.0,1.9641343,0.0482141,23.568714,4.529394,0.37785244,-0.17442618,0.90928715,-196.19012,20.5579,43.702286,8.250736,0.16794541,1.9641343,0.03737084,30,0.9881876,,0.049220458,40,0.49529383,1.5819234,0.0482141,51,0.3299288,,,,,,-199.30768,21.997044,36.199997,0,52,11,0.28344852,-198.24583,21.200672,12.663914,-201.3,20.7588,29.68164,-0.0047987285,0.009211208,0.2832577,17.487038,2,0,0.28344852,0,2,1,1,0,True,True,0.15278637409210205,-0.011353486217558384,0.0019930393900722265,0.9999335408210754,-0.011281347833573818,0.001924991374835372,0.9999344944953918,-0.011384022422134876,0.002047371119260788,0.999933123588562,-0.011281347833573818,0.001924991374835372,0.9999344944953918,0.44038135895065794,0.03109669033253933,0.6248805817105967,0.03109669033253933,0.00935043728357988,0.00027409589245959106,0.059659372699274495,0.00027409589245959106,33.11374464489058,-0.8299017,0.0053561977,0.0375635,1.8585157,13.161679401934501,0.11799836,216.6587622817801,-0.4609731053267632,0.006998255,0.0657507,1.7784189,19.09476169419633,0.11316287,0.009076341391120289,-0.23523441,-1.0618439,0.79637146,23.536083,0.40928466861811863,23.573479,0.0593852768068149,-0.13066214323043823,-1.3873749,1.393959,22.521744,0.5937838913780573,22.607452
1,68,1,1,3,0.5204187,3,0,,0,-198.14958,21.345617,13.137014,-201.29341,20.378742,36.314842,-0.080612056,-0.044456415,0.99575365,23.428463,0.15663256,0.3,0.18396243,0.44,2,,,,18.760538,148.27277,45.732437,19.941345,,,0.7799808,0.0023725058,0.05428778,2212.0,0.16335891,0.7799808,0,52,11,0.28344852,-198.24583,21.200672,12.663914,-201.3,20.7588,29.68164,-0.0047987285,0.009211208,0.2832577,17.487038,2,0,0.28344852,0,2.0,1.8728005,0.09791795,0.534886,4.8552604,-0.13610892,-0.032577388,0.99015796,-200.89455,20.688616,33.10592,20.167395,0.021458082,2.014428,0.101144694,54,0.6425825,1.7776318,0.08807835,43,0.57329386,1.8728005,0.09791795,88,0.30298197,0.9741883,0.022679737,0.9741883,0.0,0.003131922,-198.14958,21.345617,13.137014,0,52,11,0.28344852,-198.24583,21.200672,12.663914,-201.3,20.7588,29.68164,-0.0047987285,0.009211208,0.2832577,17.487038,2,0,0.28344852,0,2,1,1,0,False,False,0.3180623948574066,-0.011272124946117401,0.0019380691228434443,0.9999345541000366,-0.011281347833573818,0.001924991374835372,0.9999344944953918,-0.011272124946117401,0.0019380691228434443,0.9999345541000366,-0.011281347833573818,0.001924991374835372,0.9999344944953918,0.12998009630401436,0.03109669033253933,0.08355845944849018,0.03109669033253933,0.0016543066999888118,0.00027409589245959106,0.002220716776140586,0.00027409589245959106,5.035503433283664,-0.6545477,-0.00048552064,0.0068368185,0.037358172,3.1798691408649438,0.0025232064,7.101970285702031,0.12211698216603718,-0.00048552064,0.0068368185,0.037358172,1.687053141506036,0.0025232064,0.0013802108075292208,-0.18553057,0.09625244,0.14494514,0.47310066,0.09888340597147503,0.5040812,0.001946620883680995,0.03461387753486633,0.09625244,0.14494514,0.47310066,0.05246176911595085,0.5040812
1,68,4,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,4,1,1,0.31079704,1,0,,0,-9.662986,-12.506966,181.3985,-15.801658,-18.826962,281.51974,-0.013571802,-0.0071306555,0.9998825,161.97899,0.47524023,0.4,0.51468235,0.8,2,,,,32.543312,254.94464,112.766884,40.955917,,,0.93898106,0.010495146,0.93898106,0.0,0.041117657,0.009406161,0,52,11,0.3604581,-9.715349,-12.507346,181.25056,-7.6264443,-11.572991,242.06256,-0.005735292,-0.006068376,0.360361,65.03692,2,1,0.3604581,0,0.0,2.4125288,0.33968446,0.36627153,5.161956,0.033284664,-0.011365398,0.99938124,-7.4934354,-13.029452,245.75644,64.39627,0.09971655,2.4125288,0.3324107,256,0.612435,2.1194208,0.34446573,222,0.588774,1.755859,0.33968446,393,0.30018574,0.9177051,0.9177051,0.042144272,11.0,0.04015058,-9.636844,-12.297563,181.40001,0,52,11,0.3604581,-9.715349,-12.507346,181.25056,-7.6264443,-11.572991,242.06256,-0.005735292,-0.006068376,0.360361,65.03692,2,1,0.3604581,0,1,0,1,0,True,True,0.48684388399124146,0.005756170954555273,-0.0010998041834682226,0.9999827742576599,0.00574922701343894,-0.001118580694310367,0.9999828934669495,0.0057538338005542755,-0.0011185319162905216,0.9999827742576599,0.00574922701343894,-0.001118580694310367,0.9999828934669495,0.02938694900201614,0.026766182596989666,0.02023752759684611,0.026766182596989666,0.00029334904134926536,0.00025824247116061015,0.00019939057532863933,0.00025824247116061015,0.13594421564693437,-0.057631243,-0.008080565,-0.016772827,0.00082451926,0.0979133425369827,0.0014799798,-0.22789394621060893,0.35062542956917536,-0.0053897593,-3.0423405e-05,0.0008161848,-0.24391431151926088,0.0008625229,3.5106570188655215e-05,-0.02077365,0.078505516,0.20978355,0.14944458,0.0026207664050264742,0.26926926,-5.8851895831970815e-05,0.12638577818870544,0.052363396,0.00038051605,0.14793396,-0.006528655000143557,0.15692842
1,68,5,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,5,1,1,0.38647905,1,0,,0,64.91742,-3.7546995,399.77066,68.55962,-40.031456,502.35706,0.0729628,0.0021189335,0.9973325,148.69127,0.44635576,0.37,0.485653,0.76,2,,,,47.491543,426.4042,183.82632,67.68806,,,0.73616195,0.03782572,0.73616195,0.0,0.17085747,0.055154867,0,52,11,0.2965966,64.98319,-3.760724,399.7954,68.935715,-7.592923,433.16846,0.019453585,-0.0038754812,0.2959321,35.31248,2,1,0.2965966,0,2.0,1.9273803,0.27697042,0.21436064,5.290439,0.14367533,-0.22362974,0.9640265,72.42721,-15.344999,450.26968,52.353012,0.18710366,1.8868293,0.2767122,147,1.0404232,1.9245756,0.28032714,195,0.44399565,1.9273803,0.27697042,263,0.31119475,0.5638782,0.5638782,0.28591993,11.0,0.15020189,64.90537,-3.6373084,399.8,0,52,11,0.2965966,64.98319,-3.760724,399.7954,68.935715,-7.592923,433.16846,0.019453585,-0.0038754812,0.2959321,35.31248,2,1,0.2965966,0,1,0,1,0,True,False,0.38479048013687134,0.012183990329504013,-0.0003190440475009382,0.9999257326126099,0.012190820649266243,-0.0003298694791737944,0.9999256730079651,0.012185079045593739,-0.0003293417685199529,0.9999257326126099,0.012190820649266243,-0.0003298694791737944,0.9999256730079651,0.2623743687319002,0.05494522361878981,0.060891970244488586,0.05494522361878981,0.019066729144239864,0.0008954184510572875,0.0014267384710368596,0.0008954184510572875,20.293652282601897,-0.06617126,-0.0011975378,-0.032817006,1.1449948e-05,3.775198851719207,0.00036037577,0.5933762246603281,0.29735302894958165,-0.0010121542,-0.0016019784,-6.190605e-05,0.10823045633515528,0.00017413046,0.018171310693182577,-0.01962617,-0.077819824,0.12341571,0.0045776367,0.20742914511311036,0.14597368,0.0005313200199795721,0.08819389343261719,-0.06577301,0.006024599,-0.024749756,0.005946746625698773,0.07053322
1,68,6,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,6,1,1,0.63213336,1,0,,0,-59.82021,-181.46977,495.74918,-59.70099,-180.62215,504.17654,0.015396005,0.10063097,0.9948047,8.470737,0.10443089,,0.12483666,,2,,,,13.565942,230.14737,111.66897,22.381798,,,,,,,,,0,52,11,0.1931575,-59.89816,-181.03268,495.3134,-59.64484,-179.81839,509.4,0.0104781585,0.0034538745,0.19284147,14.154876,2,0,0.1931575,0,0.0,1.9527524,0.019922897,0.9414472,4.934189,0.013446617,0.10003833,0.9948929,-59.71508,-180.68765,503.5275,7.818241,0.0023281174,1.9527524,0.038576677,25,0.51362634,,,0,0.73026335,1.9926978,0.019922897,30,0.30154,,,,,,-59.82021,-181.46977,495.74918,0,52,11,0.1931575,-59.89816,-181.03268,495.3134,-59.64484,-179.81839,509.4,0.0104781585,0.0034538745,0.19284147,14.154876,2,0,0.1931575,0,0,1,1,0,False,False,,0.0012333266204223037,-0.01578383706510067,0.9998746514320374,0.0012265939731150866,-0.015746425837278366,0.9998753070831299,0.0012333266204223037,-0.01578383706510067,0.9998746514320374,0.0012265939731150866,-0.015746425837278366,0.9998753070831299,0.1166364367946557,0.06281364662397235,0.11745025592971711,0.06281364662397235,0.00027103225703741136,0.0007621133624072399,,0.0007621133624072399,-0.6443675305976545,-0.8968567,-0.0013013677,0.002414415,0.0008798289,0.8568645997085337,0.0011721557,,,-0.0013013677,0.002414415,0.0008798289,0.869820687737195,0.0011721557,-0.0004910811053698285,-0.1732346,0.077949524,-0.437088,0.43579102,0.05382279017068335,0.62212205,,,0.077949524,-0.437088,0.43579102,0.054636609305744765,0.62212205
1,68,7,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,7,1,1,0.3832715,1,0,,0,173.76427,22.750597,429.50052,179.08604,24.994606,504.15164,0.019088762,0.0003948215,0.9998177,80.86425,0.29748207,0.22,0.3337136,0.53,2,,,,19.619577,165.9636,67.889305,22.2476,,,0.7422556,0.07470697,0.7422556,0.0,0.17503536,0.008002052,0,52,11,0.39203158,173.80836,22.79427,429.3088,177.08566,28.801628,476.26727,0.01255309,0.005582586,0.39179045,49.004158,2,1,0.39203158,0,2.0,1.76608,0.34000817,0.508168,4.801253,0.041154906,0.015688969,0.9990296,176.64888,23.974104,500.24783,70.81655,0.097605966,1.7380192,0.34050822,261,0.58467925,1.5465914,0.339549,192,0.61737573,1.76608,0.34000817,390,0.30029142,0.86628956,0.86628956,0.07537872,11.0,0.05833169,173.73444,22.863066,429.5,0,52,11,0.39203158,173.80836,22.79427,429.3088,177.08566,28.801628,476.26727,0.01255309,0.005582586,0.39179045,49.004158,2,1,0.39203158,0,1,0,1,0,False,False,0.24405674636363983,0.021669870242476463,0.00199988204985857,0.9997631907463074,0.021676694974303246,0.001993897370994091,0.999763011932373,0.021672476083040237,0.001990043791010976,0.9997631311416626,0.021676694974303246,0.001993897370994091,0.999763011932373,0.023825562656993652,0.016030212931939514,0.003032387167780095,0.016030212931939514,0.00019300816564140916,0.00010073946393888353,2.2441925561370873e-06,0.00010073946393888353,0.9159141620855069,-0.1327021,-0.0004253468,0.0030181338,0.00044534987,0.4862910903399316,0.0004662837,-0.9777228062529835,-0.3774564124832176,-0.00025371564,-0.0019159447,0.00044655835,-0.8108330076053953,0.00043454644,9.226870170252564e-05,-0.05202341,-0.07392883,0.06879616,0.19119263,0.007795349725054138,0.21622443,-9.849527138274643e-05,-0.14797483384609222,-0.0440979,-0.04367256,0.19171143,-0.012997825764159419,0.20150729
1,68,8,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,8,1,1,0.4866972,1,0,,0,-96.41397,122.680145,66.1574,-95.150406,125.78515,69.72855,0.2579722,0.6339252,0.7291017,4.8980374,0.086131975,,0.10368994,,2,,,,18.28464,252.36511,121.5612,29.420252,,,,,,,,,0,52,11,0.023624321,-96.1804,123.32067,65.41309,-95.07585,125.61814,69.54375,-0.0041570584,-0.0010424887,0.023226699,5.3225865,2,1,0.023624321,0,1.0,1.73442,0.0129963085,0.39650285,2.9712412,0.25797302,0.6339257,0.7291012,-95.00849,125.81459,69.16521,4.478413,0.1866297,,0.013123468,7,0.32839057,1.73442,0.013306446,15,1.6264998,1.7978045,0.0129963085,16,0.41146553,,,,,,-96.1638,122.97561,65.899994,0,52,11,0.023624321,-96.1804,123.32067,65.41309,-95.07585,125.61814,69.54375,-0.0041570584,-0.0010424887,0.023226699,5.3225865,2,1,0.023624321,0,1,0,1,0,True,True,0.13631731271743774,-0.0020027642603963614,0.011112314648926258,0.9999362230300903,-0.0020043514668941498,0.011143982410430908,0.9999359250068665,-0.0020253234542906284,0.011085362173616886,0.999936580657959,-0.0020043514668941498,0.011143982410430908,0.9999359250068665,0.7442703869885938,0.1835779511104869,0.7443030511555133,0.1835779511104869,0.007199154455755452,0.0007961600473018257,0.07551802347701563,0.0007961600473018257,8.042345794860314,-0.4498759,-0.00017252927,-0.0027980893,0.007443469,3.054247160328381,0.0035217088,93.85281726073177,4.77021071399033,0.0024284981,-0.005193986,0.011378585,3.0544250911023214,0.005954223,0.006402994408453626,-0.010628013,0.016593933,-0.34506226,0.48690033,0.5606924358781069,0.59700525,0.0747218634297138,0.11269299127161503,-0.23357391,-0.6405258,0.7443085,0.5607251000450264,1.0093687
1,68,9,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,0,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,9,1,1,0.5802923,1,0,,0,43.01564,1.3117459,485.4901,43.323742,1.1252246,510.387,0.021908006,-0.020427173,0.9995513,24.903448,0.16092373,0.63,0.18864477,0.74,2,,,,9.828826,174.75462,75.11992,13.816494,,,0.4755025,0.025843684,0.22799633,211.0,0.4755025,0.27065748,0,52,11,1.2054688,43.072273,1.1980021,485.49622,43.421047,0.82075864,509.4,0.025699941,-0.0005473182,1.2051946,23.914404,2,0,1.2054688,0,2.0,1.9114659,0.07010034,0.14668785,3.444462,0.01703772,-0.0020460119,0.9998527,43.362385,1.2701062,505.8387,20.351606,0.0051615234,1.7625573,0.09978569,50,0.60222286,2.0941553,0.1012237,54,0.597969,1.9114659,0.07010034,74,0.30004418,0.9896206,0.00870227,0.9896206,0.0,0.0016770961,43.01564,1.3117459,485.4901,0,52,11,1.2054688,43.072273,1.1980021,485.49622,43.421047,0.82075864,509.4,0.025699941,-0.0005473182,1.2051946,23.914404,2,0,1.2054688,0,0,1,1,0,False,False,0.6387985944747925,0.010187597945332527,0.00011420302325859666,0.9999480247497559,0.010192523710429668,0.00010430022666696459,0.9999480247497559,0.010187597945332527,0.00011420302325859666,0.9999480247497559,0.010192523710429668,0.00010430022666696459,0.9999480247497559,0.007180193149388299,0.011137302588307942,0.023653238504563225,0.011137302588307942,3.6140350615975725e-06,0.00014952575475410423,0.0003573922855351092,0.00014952575475410423,-0.9758300162567922,-0.9418481,-0.0013148364,0.09494456,-1.2571706e-05,-0.3553023191696218,0.00026099314,1.3901720885665645,-0.470082835543781,-0.0013148364,0.09494456,-1.2571706e-05,1.1237852089423022,0.00026099314,-0.00014591171969250666,-1.1353685,-0.056632996,0.11374378,-0.0061035156,-0.003957109438919643,0.12720926,0.000207866530781005,-0.5666701793670654,-0.056632996,0.11374378,-0.0061035156,0.012515935916255282,0.12720926
1,69,2,1,2,,-1,2,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,2,1,2,0.44113508,2,1,,0,136.87384,-134.85376,172.05905,131.99251,-147.90312,169.11462,-0.29484704,-0.71077317,-0.6386445,17.064434,0.13708739,0.1,0.16203298,0.26,2,,,,25.286222,865.99664,176.61626,60.55898,,,0.8990413,0.0045166556,0.8990413,0.0,0.044822138,0.05161994,0,52,11,0.17258559,133.8105,-134.23659,136.46355,132.57896,-146.74712,168.63214,0.0077185007,-0.01366718,0.1718696,37.735954,2,1,0.17258559,0,2.0,2.2321954,0.06684987,25.531034,14.561338,0.35165873,0.9010535,0.2538482,136.51941,-135.46663,162.66539,4.590915,1.1193005,,0.08605444,66,0.3306662,,0.014428482,12,0.459129,2.2321954,0.06684987,68,1.1818087,0.71042544,0.022949263,0.71042544,0.0,0.26662531,134.90497,-139.60329,161.5,0,52,11,0.17258559,133.8105,-134.23659,136.46355,132.57896,-146.74712,168.63214,0.0077185007,-0.01366718,0.1718696,37.735954,2,1,0.17258559,0,1,1,1,0,True,True,0.17307987809181213,0.01871182769536972,-0.01250440627336502,0.9997467398643494,0.018655763939023018,-0.012050815857946873,0.9997532963752747,0.01887037418782711,-0.012067599222064018,0.9997491240501404,0.018655763939023018,-0.012050815857946873,0.9997532963752747,1.3190486362833538,0.07214457525240982,2.2594144851189184,0.07214457525240982,0.11631137814303971,0.0008982803458108141,0.8835647840623537,0.0008982803458108141,128.48226985647077,-0.6126567,0.0081792325,0.039979406,0.18346624,17.283407056849974,0.109733395,982.6180744495999,0.002864007436352009,0.022893116,0.0045976457,0.2608426,30.31787077841931,0.15299484,0.1154130977972289,-0.10573572,1.0944672,-5.366699,25.036453,1.2469040610309439,25.628565,0.8826665037165429,0.0004942864179611206,3.0633392,-0.61717224,35.595505,2.1872699098665085,35.732407
1,69,2,1,2,0.52730846,2,0,,0,133.78543,-133.85649,136.67418,134.73969,-144.0122,169.64792,0.024841549,-0.24884273,0.9682253,34.603546,0.1875951,0.27,0.21746717,0.42,2,,,,12.996136,162.07549,64.816086,17.838196,,,0.44636244,0.06652235,0.44636244,0.0,0.30624938,0.18086585,0,52,11,0.17258559,133.8105,-134.23659,136.46355,132.57896,-146.74712,168.63214,0.0077185007,-0.01366718,0.1718696,37.735954,2,1,0.17258559,0,2.0,1.8060133,0.13045159,0.58441234,3.0362766,0.04498821,-0.28381968,0.9578219,134.8833,-140.78265,160.04828,24.403385,0.029217785,1.4928598,0.06998126,36,1.2869135,2.4001846,0.13045159,121,0.41396096,1.8060133,0.07409543,94,0.31321064,0.95185,0.04340404,0.95185,0.0,0.004745959,133.78543,-133.85649,136.67418,0,52,11,0.17258559,133.8105,-134.23659,136.46355,132.57896,-146.74712,168.63214,0.0077185007,-0.01366718,0.1718696,37.735954,2,1,0.17258559,0,1,1,1,0,True,True,0.21530354022979736,0.01865317113697529,-0.012016473338007927,0.9997538328170776,0.018655763939023018,-0.012050815857946873,0.9997532963752747,0.01865317113697529,-0.012016473338007927,0.9997538328170776,0.018655763939023018,-0.012050815857946873,0.9997532963752747,0.27716276156582387,0.07214457525240982,0.2395682589994002,0.07214457525240982,0.010021186299130186,0.0008982803458108141,0.012356905474251095,0.0008982803458108141,10.155967450322839,-0.24413395,-0.00018735592,-0.0028315412,0.0015435062,2.8417685681303655,0.0018637268,12.756179272849826,0.24751746737163274,-0.00018735592,-0.0028315412,0.0015435062,2.320669061550792,0.0018637268,0.009122905953319372,-0.042134,-0.02507019,0.38009644,0.21063232,0.20501818631341406,0.43527898,0.011458625128440281,0.04271794855594635,-0.02507019,0.38009644,0.21063232,0.1674236837469904,0.43527898
1,69,3,1,3,,-1,3,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,2,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
