,,,parent_is_primary,slcID,trackScore,parent,id,t0,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,shw,nshw,ntrk,true_nshw,true_ntrk,shw,trk,trk,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,shw,shw,trk,trk,shw,shw,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk,shw,shw,shw,shw,shw,shw,shw,trk,trk,trk,trk,trk,trk,trk
1,49,4,1,2,0.53579724,2,1,,0,33.193634,134.63289,8.552321,33.201267,136.26787,11.691519,0.0021553037,0.46192926,0.88691413,3.5394597,0.07730518,,0.09331271,,2,,,,15.402554,222.31677,113.11813,25.156118,,,,,,,,,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,2.0,2.4615529,0.010140103,1.6450151,2.8648689,0.0021561682,0.46192965,0.88691396,33.201267,136.26787,11.691523,3.5394652,0.012497591,,,0,0.35566103,,0.013354564,7,6.910187,2.4615529,0.010140103,12,0.33825153,,,,,,33.193634,134.63289,8.552321,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,0,2,1,0,True,True,0.13091899454593658,0.009736115112900734,0.012228351086378098,0.9998778700828552,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.009736115112900734,0.012228351086378098,0.9998778700828552,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.46799345028849393,0.18201853890533634,0.4679930830994759,0.18201853890533634,0.002220863818777681,0.0008032776292495796,0.028673554269465218,0.0008032776292495796,1.7647524814707063,-0.581777,-0.042184338,0.0008060167,1.3849479,1.5711306831876424,0.037263166,34.69569626413224,4.399682656308362,-0.042184338,0.0008060167,1.3849479,1.5711286658710537,0.037263166,0.0014175861895281015,-0.01410558,-1.4619217,0.108428955,4.966364,0.28597491138315756,5.178199,0.027870276640215637,0.10667331144213676,-1.4619217,0.108428955,4.966364,0.2859745441941396,5.178199
1,49,4,1,2,0.52798593,2,0,,0,33.252884,135.60345,7.416842,34.46851,134.30008,4.7679954,0.3807602,-0.4082489,-0.8296714,3.1926355,0.07474434,,0.09031231,,0,,,,19.259636,232.4567,122.98671,28.84573,,,,,,,,,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,0.0,2.6118674,0.021262413,1.0583373,7.4991217,0.38075987,-0.40824392,-0.82967407,34.33246,134.44595,5.0644503,2.8353205,0.09196402,2.6118674,0.021262413,17,0.39042845,,0.0075973435,4,4.8949685,2.0230112,0.0061646905,7,0.36158776,,,,,,33.252884,135.60345,7.416842,0,52,11,0.024245683,34.655556,134.52446,3.5859573,33.163155,135.32855,11.246624,-0.0039968933,0.001449183,0.02386455,8.216604,2,1,0.024245683,0,0,2,1,0,True,True,0.1294233649969101,0.009742490947246552,0.012317760847508907,0.9998766779899597,0.009873339906334877,0.012224001809954643,0.9998765587806702,0.009742490947246552,0.012317760847508907,0.9998766779899597,0.009873339906334877,0.012224001809954643,0.9998765587806702,2.551502870853909,0.18201853890533634,2.551498370045372,0.18201853890533634,0.13842185661525086,0.0008032776292495796,0.8425647343382018,0.0008032776292495796,171.32131404501365,-0.12304336,-0.04047466,0.008020807,1.0683018,13.017818658465814,0.030366953,1047.9085014421778,4.3379962297959205,-0.04047466,0.008020807,1.0683018,13.017793931267342,0.030366953,0.13761857898600127,-0.0029832702,-1.4026718,1.0789948,3.8308847,2.369484331948573,4.219881,0.8417614567089522,0.10517768189311028,-1.4026718,1.0789948,3.8308847,2.369479831140036,4.219881
1,49,6,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,6,1,1,0.38022783,1,0,,0,51.773678,-48.442078,396.49982,43.439587,-43.963577,440.16092,-0.08555521,-0.008418957,0.9962979,52.985836,0.23324768,0.17,0.26652944,0.38,2,,,,27.130888,257.72482,92.65521,36.63151,,,0.72689784,0.01488008,0.72689784,0.0,0.14297883,0.11524326,0,52,11,0.14467455,51.81852,-48.47172,396.55038,49.043884,-49.409233,414.17905,-0.009695879,-0.0011937518,0.14434345,18.61847,2,1,0.14467455,0,2.0,1.8194357,0.12471692,0.42615953,3.7252257,-0.17063104,0.036831427,0.98464656,46.050278,-47.26434,429.465,33.479023,0.12226342,2.4504504,0.124600396,93,0.57227856,2.6240175,0.12422608,83,0.65157,1.8194357,0.12471692,146,0.30467784,0.5219825,0.5219825,0.41256732,11.0,0.0654502,51.76284,-48.49742,396.5,0,52,11,0.14467455,51.81852,-48.47172,396.55038,49.043884,-49.409233,414.17905,-0.009695879,-0.0011937518,0.14434345,18.61847,2,1,0.14467455,0,1,0,1,0,True,True,0.2560628354549408,0.011034444905817509,-0.004255168605595827,0.9999300837516785,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.011035395786166191,-0.004250312689691782,0.9999300837516785,0.011039280332624912,-0.004252894781529903,0.9999300837516785,0.1871524637858964,0.078210592122189,0.09678613313711307,0.078210592122189,0.004368340507404207,0.0008849593077028458,0.00239868283993033,0.0008849593077028458,3.9362049411553524,-0.13794845,-0.0010745062,0.0005301981,-0.00012705705,1.3929298923284799,0.00019701668,1.7105007191311068,0.7699230966907321,-0.00086536177,-0.00061157334,-0.0001275188,0.23750671757993283,0.00018319875,0.0034833811997013616,-0.019957632,-0.05567932,-0.025699615,-0.05038452,0.10894187166370739,0.07936786,0.0015137235322274841,0.11138828098773956,-0.044841766,0.029644012,-0.050567627,0.018575541014924063,0.07380133
1,49,8,1,3,,-1,3,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,2,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,8,1,3,0.4716291,3,2,,0,183.96786,-108.24896,181.41444,183.1011,-109.94502,181.38594,-0.45500466,-0.8903635,-0.014953706,1.9049163,0.06349421,,0.07698142,,0,,,,1.6542809,2.3784618,1.9340814,1.8691627,,,,,,,,,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,0.0,1.3336011,0.0062934053,4.427028,3.3037739,-0.4550084,-0.8903615,-0.014958229,183.02632,-109.907005,181.39836,1.9049141,0.19578478,1.3336011,0.0062934053,7,0.38532934,,,0,0.39287764,,0.0026738294,4,20.055851,,,,,,183.89307,-108.210945,181.42685,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2,1,1,0,True,True,0.12326884269714355,0.023057203739881516,-0.009674714878201485,0.9996873140335083,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.023063912987709045,-0.009678122587502003,0.9996871948242188,0.023055361583828926,-0.008944512344896793,0.9996942281723022,1.5876279021425894,0.0765457855920833,1.5876232895617772,0.0765457855920833,0.015862920520981896,0.0009290454535446658,0.3107049991202688,0.0009290454535446658,16.07442887800457,-0.9603091,0.0038450859,0.084512606,0.1947384,19.740892393516553,0.119211555,333.43465864324475,-0.22257424253815503,0.0042534,0.08489362,0.19465671,19.74083213440788,0.11921281,0.01493387506743723,-0.15226687,0.7043762,-8.432533,29.571976,1.5110821165505062,30.75883,0.3097759536667241,-0.035291433334350586,0.7791748,-8.470551,29.55957,1.511077503969694,30.759153
1,49,8,1,3,0.47988126,3,1,,0,187.72435,-106.63667,182.45544,190.97903,-108.42676,187.51541,0.49763122,-0.30084005,0.81354684,6.289032,0.09386364,,0.112690434,,2,,,,17.290955,238.64435,121.656395,26.698378,,,,,,,,,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2.0,1.8569936,0.03030459,0.42449522,2.8906567,0.51547617,-0.28680634,0.80748165,191.34929,-107.98292,187.09705,6.0026727,0.24963897,,0.03030459,21,1.9310083,,0.011479697,10,0.46003634,1.8569936,0.017351665,20,0.37152547,,,,,,188.25505,-106.261314,182.25,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2,1,1,0,True,True,0.14132967591285706,0.023445293307304382,-0.009499636478722095,0.9996799230575562,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.02339743822813034,-0.009533025324344635,0.999680757522583,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.6058239843799402,0.0765457855920833,0.5956243997549824,0.0765457855920833,0.011122472533837623,0.0009290454535446658,0.0501393066118282,0.0009290454535446658,10.971935809384904,-0.8088765,0.027656514,0.064973,0.20015904,6.914530887544999,0.12204163,52.968625991901106,-0.10866908503120067,0.024759497,0.06873492,0.20151195,6.781282733566778,0.12280499,0.010193427080292958,-0.12825568,5.0663605,-6.4829025,30.395126,0.529278198787857,31.489042,0.04921026115828354,-0.017230600118637085,4.53566,-6.858261,30.60057,0.5190786141628991,31.686005
1,49,8,1,3,0.58566153,3,0,,0,187.88217,-106.45747,182.1626,183.1373,-99.1237,152.04549,-0.27604774,0.25091642,-0.92781395,31.527054,0.17940377,0.19,0.20859934,0.35,2,,,,11.911913,179.78142,75.29809,16.284752,,,0.83523935,0.020016972,0.83523935,0.0,0.07355717,0.07118649,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2.0,1.7656567,0.088190645,0.042761512,3.1304255,-0.15339133,0.23424692,-0.95999974,183.56082,-99.858246,155.1174,28.172094,0.05534406,2.3673291,0.0858757,44,1.0825007,2.114125,0.096545264,93,0.43932635,1.7656567,0.088190645,116,0.3125001,0.67853713,0.2842072,0.67853713,0.0,0.03725568,187.88217,-106.45747,182.1626,0,52,11,0.15856028,183.18869,-99.77841,151.85487,189.99281,-107.622536,185.99242,0.0043079634,-0.013520425,0.1579232,37.511593,2,1,0.15856028,0,2,1,1,0,True,True,0.2082051932811737,0.023412156850099564,-0.009517254307866096,0.9996806383132935,0.023055361583828926,-0.008944512344896793,0.9996942281723022,0.023412156850099564,-0.009517254307866096,0.9996806383132935,0.023055361583828926,-0.008944512344896793,0.9996942281723022,2.878205715574294,0.0765457855920833,2.7829340105545355,0.0765457855920833,0.7305773124232368,0.0009290454535446658,1.6124912799358968,0.0009290454535446658,785.3741323266836,-0.44380367,0.025621021,0.066938944,0.19958349,36.60109969884443,0.121649414,1734.6430450023972,0.31309807533268175,0.025621021,0.066938944,0.19958349,35.35646285459717,0.121649414,0.7296482669696921,-0.07036963,4.6934814,-6.679062,30.307724,2.8016599299822107,31.387844,1.6115622344823521,0.049644917249679565,4.6934814,-6.679062,30.307724,2.7063882249624522,31.387844
1,49,9,1,1,,-1,1,,4294967295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,63,63,-2147483648,,,,,,,,,,,,-2147483648,0,,-2147483648,1,0,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,9,1,1,0.44718948,1,0,,0,-71.52539,33.682304,171.00378,-69.71908,27.21762,201.88423,0.05961638,0.03451555,0.9976245,36.876644,0.19351397,0.13,0.22388162,0.33,2,,,,27.643946,195.76491,92.83575,33.31337,,,0.9046888,0.004450745,0.9046888,0.0,0.04765827,0.04320222,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,2.0,1.8868605,0.078933015,0.0,3.5646546,0.07843269,-0.15597862,0.9846415,-69.388596,31.013939,200.80316,22.143244,0.16886847,2.353658,0.07911082,63,0.83977324,2.753653,0.079630606,61,0.47816217,1.8868605,0.078933015,91,0.30467942,0.6356183,0.27024904,0.6356183,0.0,0.09413263,-71.12535,34.46781,179.0,0,52,11,0.08253877,-71.610565,33.81022,169.88872,-70.18188,30.420918,184.96611,0.006150868,-0.0058134804,0.08210211,16.978436,2,1,0.08253877,0,1,0,1,0,True,True,0.220479816198349,0.00025714602088555694,0.003083249554038048,0.9999951720237732,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.0002215197600889951,0.0030151410028338432,0.9999954700469971,0.00021391651534941047,0.003026893362402916,0.9999953508377075,0.17813378642322758,0.104671222300201,0.06728478521905401,0.104671222300201,0.0025046744938528923,0.0009043000960008947,0.0009981655550342647,0.0009043000960008947,1.7697381709118103,-0.04368557,-0.0067757354,0.019449526,0.053630885,0.7018410840023745,0.048804462,0.10379901478333715,1.6712273493645067,-0.0011894134,-0.0037833068,0.006563511,-0.35717971243252783,0.006005189,0.0016003743978519978,-0.0036057532,0.48521423,0.6575928,9.111282,0.07346256412302658,9.14786,9.386545903337007e-05,0.13794104754924774,0.08517456,-0.12791443,1.1150665,-0.037386437081146986,1.1256065
